Node1	Node2	Edge	support	conflict	snp_count	hg	path
28	29	1	0	0	0	NA	1
29	1	2	1	7	41	NA	1
28	29	1	0	0	0	NA	2
29	30	3	14	0	111	NA	2
30	2	4	0	0	10	NA	2
28	29	1	0	0	0	NA	3
29	30	3	14	0	111	NA	3
30	31	5	65	0	458	NA	3
31	32	6	2	0	21	NA	3
32	33	7	0	7	44	NA	3
33	3	8	0	5	20	NA	3
28	29	1	0	0	0	NA	4
29	30	3	14	0	111	NA	4
30	31	5	65	0	458	NA	4
31	32	6	2	0	21	NA	4
32	33	7	0	7	44	NA	4
33	34	9	0	5	32	NA	4
34	4	10	0	1	9	NA	4
28	29	1	0	0	0	NA	5
29	30	3	14	0	111	NA	5
30	31	5	65	0	458	NA	5
31	32	6	2	0	21	NA	5
32	33	7	0	7	44	NA	5
33	34	9	0	5	32	NA	5
34	5	11	0	2	6	NA	5
28	29	1	0	0	0	NA	6
29	30	3	14	0	111	NA	6
30	31	5	65	0	458	NA	6
31	32	6	2	0	21	NA	6
32	35	12	1	5	52	NA	6
35	6	13	0	0	2	NA	6
28	29	1	0	0	0	NA	7
29	30	3	14	0	111	NA	7
30	31	5	65	0	458	NA	7
31	32	6	2	0	21	NA	7
32	35	12	1	5	52	NA	7
35	7	14	0	0	0	NA	7
28	29	1	0	0	0	NA	8
29	30	3	14	0	111	NA	8
30	31	5	65	0	458	NA	8
31	36	15	0	8	77	NA	8
36	8	16	0	10	84	NA	8
28	29	1	0	0	0	NA	9
29	30	3	14	0	111	NA	9
30	31	5	65	0	458	NA	9
31	36	15	0	8	77	NA	9
36	37	17	0	7	79	NA	9
37	9	18	0	15	74	NA	9
28	29	1	0	0	0	NA	10
29	30	3	14	0	111	NA	10
30	31	5	65	0	458	NA	10
31	36	15	0	8	77	NA	10
36	37	17	0	7	79	NA	10
37	38	19	0	3	23	NA	10
38	39	20	0	2	20	NA	10
39	40	21	0	1	10	NA	10
40	41	22	0	0	7	NA	10
41	10	23	0	0	10	NA	10
28	29	1	0	0	0	NA	11
29	30	3	14	0	111	NA	11
30	31	5	65	0	458	NA	11
31	36	15	0	8	77	NA	11
36	37	17	0	7	79	NA	11
37	38	19	0	3	23	NA	11
38	39	20	0	2	20	NA	11
39	40	21	0	1	10	NA	11
40	41	22	0	0	7	NA	11
41	42	24	0	0	8	NA	11
42	11	25	0	0	1	NA	11
28	29	1	0	0	0	NA	12
29	30	3	14	0	111	NA	12
30	31	5	65	0	458	NA	12
31	36	15	0	8	77	NA	12
36	37	17	0	7	79	NA	12
37	38	19	0	3	23	NA	12
38	39	20	0	2	20	NA	12
39	40	21	0	1	10	NA	12
40	41	22	0	0	7	NA	12
41	42	24	0	0	8	NA	12
42	12	26	0	0	1	NA	12
28	29	1	0	0	0	NA	13
29	30	3	14	0	111	NA	13
30	31	5	65	0	458	NA	13
31	36	15	0	8	77	NA	13
36	37	17	0	7	79	NA	13
37	38	19	0	3	23	NA	13
38	39	20	0	2	20	NA	13
39	40	21	0	1	10	NA	13
40	13	27	0	1	8	NA	13
28	29	1	0	0	0	NA	14
29	30	3	14	0	111	NA	14
30	31	5	65	0	458	NA	14
31	36	15	0	8	77	NA	14
36	37	17	0	7	79	NA	14
37	38	19	0	3	23	NA	14
38	39	20	0	2	20	NA	14
39	14	28	0	1	23	NA	14
28	29	1	0	0	0	NA	15
29	30	3	14	0	111	NA	15
30	31	5	65	0	458	NA	15
31	36	15	0	8	77	NA	15
36	37	17	0	7	79	NA	15
37	38	19	0	3	23	NA	15
38	43	29	0	2	6	NA	15
43	15	30	0	5	26	NA	15
28	29	1	0	0	0	NA	16
29	30	3	14	0	111	NA	16
30	31	5	65	0	458	NA	16
31	36	15	0	8	77	NA	16
36	37	17	0	7	79	NA	16
37	38	19	0	3	23	NA	16
38	43	29	0	2	6	NA	16
43	44	31	0	1	19	NA	16
44	45	32	0	4	32	NA	16
45	46	33	0	1	1	NA	16
46	16	34	0	0	2	NA	16
28	29	1	0	0	0	NA	17
29	30	3	14	0	111	NA	17
30	31	5	65	0	458	NA	17
31	36	15	0	8	77	NA	17
36	37	17	0	7	79	NA	17
37	38	19	0	3	23	NA	17
38	43	29	0	2	6	NA	17
43	44	31	0	1	19	NA	17
44	45	32	0	4	32	NA	17
45	46	33	0	1	1	NA	17
46	17	35	0	0	0	NA	17
28	29	1	0	0	0	NA	18
29	30	3	14	0	111	NA	18
30	31	5	65	0	458	NA	18
31	36	15	0	8	77	NA	18
36	37	17	0	7	79	NA	18
37	38	19	0	3	23	NA	18
38	43	29	0	2	6	NA	18
43	44	31	0	1	19	NA	18
44	45	32	0	4	32	NA	18
45	18	36	0	0	5	NA	18
28	29	1	0	0	0	NA	19
29	30	3	14	0	111	NA	19
30	31	5	65	0	458	NA	19
31	36	15	0	8	77	NA	19
36	37	17	0	7	79	NA	19
37	38	19	0	3	23	NA	19
38	43	29	0	2	6	NA	19
43	44	31	0	1	19	NA	19
44	47	37	0	3	18	NA	19
47	19	38	0	6	28	NA	19
28	29	1	0	0	0	NA	20
29	30	3	14	0	111	NA	20
30	31	5	65	0	458	NA	20
31	36	15	0	8	77	NA	20
36	37	17	0	7	79	NA	20
37	38	19	0	3	23	NA	20
38	43	29	0	2	6	NA	20
43	44	31	0	1	19	NA	20
44	47	37	0	3	18	NA	20
47	48	39	0	0	3	NA	20
48	20	40	0	0	6	NA	20
28	29	1	0	0	0	NA	21
29	30	3	14	0	111	NA	21
30	31	5	65	0	458	NA	21
31	36	15	0	8	77	NA	21
36	37	17	0	7	79	NA	21
37	38	19	0	3	23	NA	21
38	43	29	0	2	6	NA	21
43	44	31	0	1	19	NA	21
44	47	37	0	3	18	NA	21
47	48	39	0	0	3	NA	21
48	49	41	0	0	19	NA	21
49	21	42	0	0	1	NA	21
28	29	1	0	0	0	NA	22
29	30	3	14	0	111	NA	22
30	31	5	65	0	458	NA	22
31	36	15	0	8	77	NA	22
36	37	17	0	7	79	NA	22
37	38	19	0	3	23	NA	22
38	43	29	0	2	6	NA	22
43	44	31	0	1	19	NA	22
44	47	37	0	3	18	NA	22
47	48	39	0	0	3	NA	22
48	49	41	0	0	19	NA	22
49	50	43	0	0	0	NA	22
50	22	44	0	1	1	NA	22
28	29	1	0	0	0	NA	23
29	30	3	14	0	111	NA	23
30	31	5	65	0	458	NA	23
31	36	15	0	8	77	NA	23
36	37	17	0	7	79	NA	23
37	38	19	0	3	23	NA	23
38	43	29	0	2	6	NA	23
43	44	31	0	1	19	NA	23
44	47	37	0	3	18	NA	23
47	48	39	0	0	3	NA	23
48	49	41	0	0	19	NA	23
49	50	43	0	0	0	NA	23
50	51	45	0	0	0	NA	23
51	23	46	0	1	27	NA	23
28	29	1	0	0	0	NA	24
29	30	3	14	0	111	NA	24
30	31	5	65	0	458	NA	24
31	36	15	0	8	77	NA	24
36	37	17	0	7	79	NA	24
37	38	19	0	3	23	NA	24
38	43	29	0	2	6	NA	24
43	44	31	0	1	19	NA	24
44	47	37	0	3	18	NA	24
47	48	39	0	0	3	NA	24
48	49	41	0	0	19	NA	24
49	50	43	0	0	0	NA	24
50	51	45	0	0	0	NA	24
51	52	47	0	0	1	NA	24
52	24	48	0	0	0	NA	24
28	29	1	0	0	0	NA	25
29	30	3	14	0	111	NA	25
30	31	5	65	0	458	NA	25
31	36	15	0	8	77	NA	25
36	37	17	0	7	79	NA	25
37	38	19	0	3	23	NA	25
38	43	29	0	2	6	NA	25
43	44	31	0	1	19	NA	25
44	47	37	0	3	18	NA	25
47	48	39	0	0	3	NA	25
48	49	41	0	0	19	NA	25
49	50	43	0	0	0	NA	25
50	51	45	0	0	0	NA	25
51	52	47	0	0	1	NA	25
52	25	49	0	0	1	NA	25
28	53	50	0	130	951	NA	26
53	26	51	2	200	1341	NA	26
28	53	50	0	130	951	NA	27
53	27	52	0	119	782	NA	27
